日付,【得意先】,伝票番号,商品名,数量,単位,単価,金額,粗利
2020-06-26,三機工業　株式会社　（多摩川/尾久）,369507,運搬費（4ｔﾕﾆｯｸ）,1 ,台,35000 ,38500 ,38500 
2020-06-26,三機工業　株式会社　（多摩川/尾久）,370103,運搬費（4ｔｃ）,1 ,台,25000 ,27500 ,27500 
2020-06-26,三機工業　株式会社　（多摩川/尾久）,370106,運搬費（4ｔｄ）,1 ,台,25000 ,27500 ,27500 
2020-06-09,三機工業　株式会社　（北多摩/安田）,367222,運搬費（4ｔﾕﾆｯｸ）,1 ,台,35000 ,38500 ,38500 
2020-07-21,三機工業　株式会社　（新河岸/赤城）,372978,混合廃棄物,6 ,m3,10000 ,66000 ,38500 
2020-07-31,三機工業　株式会社　（新河岸/赤城）,375163,事務手数料,1 ,式,1500 ,1650 ,336600 
2020-07-31,三機工業　株式会社　（新河岸/赤城）,375163,一般廃棄物（7/14～7/31）,1 ,式,3800 ,4180 ,66000 
2020-08-17,三機工業　株式会社　（新河岸/赤城）,376384,がれき類（耐火材）,4490 ,kg,25 ,123475 ,1650 
2020-08-18,三機工業　株式会社　（新河岸/赤城）,376309,混合廃棄物,9 ,m3,10000 ,99000 ,4180 
2020-08-18,三機工業　株式会社　（新河岸/赤城）,376387,がれき類（耐火材）,5770 ,kg,25 ,158675 ,123475 
2020-08-24,三機工業　株式会社　（新河岸/赤城）,377069,混合廃棄物,9 ,m3,10000 ,99000 ,99000 
2020-08-31,三機工業　株式会社　（新河岸/赤城）,378453,コンテナ用シートリース料,1 ,枚,4000 ,4400 ,158675 
2020-08-31,三機工業　株式会社　（新河岸/赤城）,378565,事務手数料,1 ,式,1500 ,1650 ,99000 
2020-08-31,三機工業　株式会社　（新河岸/赤城）,378565,一般廃棄物（8/1～8/31）,1 ,式,5000 ,5500 ,4400 
2020-09-01,三機工業　株式会社　（新河岸/赤城）,378117,混合廃棄物,6 ,m3,10000 ,66000 ,1650 
2020-09-30,三機工業　株式会社　（新河岸/赤城）,382227,コンテナ用シートリース料,1 ,枚,4000 ,4400 ,5500 
2020-09-30,三機工業　株式会社　（新河岸/赤城）,382571,事務手数料,1 ,式,1500 ,1650 ,66000 
2020-09-30,三機工業　株式会社　（新河岸/赤城）,382571,一般廃棄物（9/1～9/30）,1 ,式,5000 ,5500 ,4400 
2020-07-03,三機工業　株式会社　（多摩川/尾久）,371415,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,1650 
2020-07-03,三機工業　株式会社　（多摩川/尾久）,371421,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,5500 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,371720,混合廃棄物（ＦＲＰ）,6 ,m3,18000 ,118800 ,13200 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,371721,混合廃棄物（ＦＲＰ）,4 ,m3,18000 ,79200 ,13200 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,372151,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,118800 
2020-07-10,三機工業　株式会社　（多摩川/尾久）,372157,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,79200 
