日付,得意先,,,商品名,数量,単価,金額
2020-06-03,三機工業　株式会社　（北多摩　/田中）,,,ギロ材,20,10.5,3080
2020-10-06,三機工業　株式会社　（浅川/岩月）,,,ガス切,85,10,981
2020-10-08,三機工業　株式会社　（浅川/岩月）,,,ギロ材,6320,13,69520
2020-10-08,三機工業　株式会社　（浅川/岩月）,,,ギロ材,4370,13,62491
2020-10-08,三機工業　株式会社　（浅川/岩月）,,,18-8ステン解体,5220,60,74646
2020-10-16,三機工業　株式会社　（浅川/岩月）,,,ギロ材,310,13,20460
2020-10-16,三機工業　株式会社　（浅川/岩月）,,,18-8ステン解体,4750,60,67925
2020-10-16,三機工業　株式会社　（浅川/岩月）,,,雑品,200,5,13200
2020-10-16,三機工業　株式会社　（浅川/岩月）,,,ギロ材,520,13,2860
2020-11-26,三機工業　株式会社　（浅川/岩月）,,,ギロ材,4580,14,65494
2020-11-26,三機工業　株式会社　（浅川/岩月）,,,18-8ステン解体,5950,65,91630
2020-11-26,三機工業　株式会社　（浅川/岩月）,,,ギロ材,280,14,20020
2021-01-28,三機工業　株式会社　（浅川/岩月）,,,ギロ材,4670,18,71918
2021-01-28,三機工業　株式会社　（浅川/岩月）,,,ギロ材,5950,18,117810
2021-01-29,三機工業　株式会社　（浅川/岩月）,,,ギロ材,4430,17,87714
2021-01-29,三機工業　株式会社　（浅川/岩月）,,,雑線,2830,230,52921
2020-10-21,三機工業　株式会社　（南プラ/橘）,,,ギロ材,630,13,159390
2020-10-21,三機工業　株式会社　（南プラ/橘）,,,雑品,2880,5,41184
2020-10-21,三機工業　株式会社　（南プラ/橘）,,,ギロ材,720,13,3960
2020-10-21,三機工業　株式会社　（南プラ/橘）,,,雑品,2190,5,31317
2020-10-22,三機工業　株式会社　（南プラ/橘）,,,ギロ材,2190,13,12045
2020-10-22,三機工業　株式会社　（南プラ/橘）,,,18-8ステン解体,2810,60,40183
2020-10-23,三機工業　株式会社　（南プラ/橘）,,,ガス切,890,3,58740
2020-10-26,三機工業　株式会社　（南プラ/橘）,,,ギロ材,16730,13,55209
2020-10-26,三機工業　株式会社　（南プラ/橘）,,,雑品,2940,5,42042
2020-10-27,三機工業　株式会社　（南プラ/橘）,,,ガス切,1420,3,7810
2020-10-27,三機工業　株式会社　（南プラ/橘）,,,18-8ステン解体,11770,60,38841
2020-10-28,三機工業　株式会社　（南プラ/橘）,,,18-8ステン解体,320,60,21120
2020-10-30,三機工業　株式会社　（南プラ/橘）,,,ギロ材,690,13,45540
2020-10-30,三機工業　株式会社　（南プラ/橘）,,,18-8ステン解体,1730,70,24739
2020-10-30,三機工業　株式会社　（南プラ/橘）,,,雑品,470,5,36190
2020-10-30,三機工業　株式会社　（南プラ/橘）,,,ガス切,470,10,2585
2020-11-04,三機工業　株式会社　（南プラ/橘）,,,ガス切,4270,10,46970
2020-11-06,三機工業　株式会社　（南プラ/橘）,,,ギロ材,4760,13,52360
2020-11-11,三機工業　株式会社　（南プラ/橘）,,,ギロ材,1670,13,23881
2020-11-13,三機工業　株式会社　（南プラ/橘）,,,ギロ材,4110,13.5,58773
2020-11-26,三機工業　株式会社　（南プラ/橘）,,,ギロ材,2320,13.5,34452
2020-12-17,三機工業　株式会社　（南プラ/橘）,,,ギロ材,4290,22,63706
2021-01-21,三機工業　株式会社　（南プラ/橘）,,,ギロ材,1770,27,42834
2021-01-21,三機工業　株式会社　（南プラ/橘）,,,雑品,600,8,17820
2021-03-25,三機工業　株式会社　（多摩川/橋本）,,,ギロ材,2400,28,21120
2021-03-25,三機工業　株式会社　（多摩川/橋本）,,,雑品,2070,12,63756
2020-12-11,三機工業　株式会社　（呑川/花岡）,,,ＧＣ　軽鉄・スチ－ル類（14290000578）,2070,0,27324
2021-01-28,三機工業　株式会社　（呑川/花岡）,,,配線,110,140,0
2021-01-28,三機工業　株式会社　（呑川/花岡）,,,ＧＣ　軽鉄・スチ－ル類,60,11,9240
2021-01-28,三機工業　株式会社　（呑川/花岡）,,,,10,,121
2021-01-28,三機工業　株式会社　（呑川/花岡）,,,,180,,9361
