日付,得意先,,,商品名,,,,,,,,,,数量,,,,,,単価,,,,,金額
2020/06/15,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,13000,,,,,14300
2020/06/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/06/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,10000,,,,,11000
2020/06/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/06/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/06/18,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/06/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/06/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/06/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/06/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/06/19,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/06/22,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,13000,,,,,14300
2020/06/23,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/06/25,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/06/25,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/06/25,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,30000,,,,,33000
2020/06/26,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/06/29,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/06/29,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,10000,,,,,11000
2020/06/29,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/06/29,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,1100,,,,,,2.5,,,,,3025
2020/06/30,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,10000,,,,,11000
2020/07/01,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/07/01,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/07/06,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,30000,,,,,33000
2020/07/07,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/07,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2020/07/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/07/08,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,3200,,,,,,2.5,,,,,8800
2020/07/09,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/07/14,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/15,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/17,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,10000,,,,,11000
2020/07/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/20,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/20,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/21,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/07/21,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/22,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/22,メタウォーター株式会社,,,廃石綿,,,,,,,,,,1,,,,,,50000,,,,,55000
2020/07/28,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/28,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/28,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/28,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/29,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/07/31,メタウォーター株式会社,,,蛍光管,,,,,,,,,,1,,,,,,200,,,,,220
2020/08/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/06,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/06,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/17,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,10000,,,,,11000
2020/08/18,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/18,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/20,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/21,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/25,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/25,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/08/25,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/09/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/09/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,50000,,,,,55000
2020/09/02,メタウォーター株式会社,,,廃石綿,,,,,,,,,,2,,,,,,65000,,,,,143000
2020/09/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/09/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/09/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2020/09/09,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/09/09,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/09/09,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/09/10,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2020/09/11,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/09/11,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/09/14,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,23000,,,,,25300
2020/09/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,23000,,,,,25300
2020/09/24,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/10/01,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/10/02,メタウォーター株式会社,,,石綿含有産業廃棄物,,,,,,,,,,1,,,,,,65000,,,,,71500
2020/10/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/10/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/10/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/10/14,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,13000,,,,,14300
2020/10/14,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,8600,,,,,,2.5,,,,,23650
2020/10/20,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/10/21,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,15000,,,,,16500
2020/10/21,メタウォーター株式会社,,,キャンセル費,,,,,,,,,,1,,,,,,13000,,,,,14300
2020/10/22,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2020/10/23,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2020/10/26,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/10/26,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/10/27,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/10/27,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/10/28,メタウォーター株式会社,,,蛍光管,,,,,,,,,,60,,,,,,200,,,,,13200
2020/10/30,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,2,,,,,,10000,,,,,22000
2020/11/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/02,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,30000,,,,,33000
2020/11/04,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,4800,,,,,,2.5,,,,,13200
2020/11/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,30000,,,,,33000
